c11,c14,c15,c22,c33,c44,c45,c55,c62,c63
"[7.99445e-05, 0.01]","[5.336420000000001e-07, 0.01]","[2.40606e-05, 0.01]","[4.796579999999999e-06, 0.01]","[6.03831e-06, 0.01]","[1.37749e-07, 0.01]","[4.24397e-06, 0.01]","[9.57316e-05, 0.01]","[9.57947e-06, 0.01]","[5.32953e-07, 0.01]"
"[0.000319006, 0.02]","[4.26452e-06, 0.02]","[0.00013546, 0.02]","[2.7105e-05, 0.02]","[3.41215e-05, 0.02]","[1.5539e-06, 0.02]","[3.37142e-05, 0.02]","[0.000536096, 0.02]","[5.40556e-05, 0.02]","[4.25298e-06, 0.02]"
"[0.000716076, 0.03]","[1.43789e-05, 0.03]","[0.000371558, 0.03]","[7.46151e-05, 0.03]","[9.39284e-05, 0.03]","[6.404919999999999e-06, 0.03]","[0.000113001, 0.03]","[0.00146264, 0.03]","[0.000148593, 0.03]","[1.4318e-05, 0.03]"
"[0.00127012, 0.04]","[3.4055e-05, 0.04]","[0.000759319, 0.04]","[0.000153013, 0.04]","[0.000192613, 0.04]","[1.74829e-05, 0.04]","[0.000266034, 0.04]","[0.0029731, 0.04]","[0.000304287, 0.04]","[3.38541e-05, 0.04]"
"[0.00198015, 0.05]","[6.64668e-05, 0.05]","[0.00132072, 0.05]","[0.000267032, 0.05]","[0.00033613, 0.05]","[3.80767e-05, 0.05]","[0.000516121, 0.05]","[0.00514358, 0.05]","[0.000530278, 0.05]","[6.59563e-05, 0.05]"
"[0.00284529, 0.06]","[0.000114788, 0.06]","[0.00207462, 0.06]","[0.000420807, 0.06]","[0.000529673, 0.06]","[7.18951e-05, 0.06]","[0.000885984, 0.06]","[0.0080363, 0.06]","[0.000834464, 0.06]","[0.000113688, 0.06]"
"[0.00386468, 0.07]","[0.000182198, 0.07]","[0.00303767, 0.07]","[0.000618049, 0.07]","[0.000777903, 0.07]","[0.000123017, 0.07]","[0.00139779, 0.07]","[0.0117036, 0.07]","[0.00122386, 0.07]","[0.000180082, 0.07]"
"[0.00503759, 0.08]","[0.000271883, 0.08]","[0.00422493, 0.08]","[0.000862146, 0.08]","[0.00108507, 0.08]","[0.000195854, 0.08]","[0.00207321, 0.08]","[0.0161902, 0.08]","[0.00170482, 0.08]","[0.00026814, 0.08]"
"[0.00636333, 0.09]","[0.000387045, 0.09]","[0.00565017, 0.09]","[0.00115624, 0.09]","[0.00145511, 0.09]","[0.000295129, 0.09]","[0.0029334, 0.09]","[0.021535, 0.09]","[0.00228314, 0.09]","[0.000380833, 0.09]"
"[0.00784128, 0.1]","[0.0005309, 0.1]","[0.00732623, 0.1]","[0.00150325, 0.1]","[0.00189168, 0.1]","[0.000425851, 0.1]","[0.00399911, 0.1]","[0.0277722, 0.1]","[0.00296419, 0.1]","[0.000521103, 0.1]"
"[0.00947092, 0.11]","[0.000706691, 0.11]","[0.0092651, 0.11]","[0.00190594, 0.11]","[0.00239824, 0.11]","[0.0005933, 0.11]","[0.00529066, 0.11]","[0.0349319, 0.11]","[0.00375296, 0.11]","[0.00069186, 0.11]"
"[0.0112518, 0.12]","[0.000917685, 0.12]","[0.0114782, 0.12]","[0.00236692, 0.12]","[0.00297802, 0.12]","[0.000803022, 0.12]","[0.00682801, 0.12]","[0.043041, 0.12]","[0.00465414, 0.12]","[0.000895987, 0.12]"
"[0.0131835, 0.13]","[0.00116718, 0.13]","[0.0139764, 0.13]","[0.00288866, 0.13]","[0.00363414, 0.13]","[0.00106081, 0.13]","[0.00863076, 0.13]","[0.0521239, 0.13]","[0.00567214, 0.13]","[0.00113633, 0.13]"
"[0.0152658, 0.14]","[0.00145852, 0.14]","[0.0167702, 0.14]","[0.00347355, 0.14]","[0.00436953, 0.14]","[0.00137272, 0.14]","[0.0107182, 0.14]","[0.0622026, 0.14]","[0.0068111, 0.14]","[0.00141573, 0.14]"
"[0.0174985, 0.15]","[0.00179508, 0.15]","[0.0198698, 0.15]","[0.00412386, 0.15]","[0.00518702, 0.15]","[0.00174502, 0.15]","[0.0131094, 0.15]","[0.0732971, 0.15]","[0.008075, 0.15]","[0.00173696, 0.15]"
"[0.0198815, 0.16]","[0.0021803, 0.16]","[0.023285, 0.16]","[0.00484176, 0.16]","[0.00608931, 0.16]","[0.00218425, 0.16]","[0.0158232, 0.16]","[0.085426, 0.16]","[0.00946757, 0.16]","[0.0021028, 0.16]"
"[0.0224146, 0.17]","[0.00261765, 0.17]","[0.0270257, 0.17]","[0.00562937, 0.17]","[0.007079, 0.17]","[0.00269719, 0.17]","[0.0188781, 0.17]","[0.0986065, 0.17]","[0.0109924, 0.17]","[0.00251597, 0.17]"
"[0.0250981, 0.18]","[0.00311067, 0.18]","[0.0311013, 0.18]","[0.00648873, 0.18]","[0.00815862, 0.18]","[0.00329083, 0.18]","[0.0222926, 0.18]","[0.112855, 0.18]","[0.012653, 0.18]","[0.00297921, 0.18]"
"[0.0279319, 0.19]","[0.00366298, 0.19]","[0.0355215, 0.19]","[0.00742181, 0.19]","[0.00933058, 0.19]","[0.00397245, 0.19]","[0.026085, 0.19]","[0.128186, 0.19]","[0.0144525, 0.19]","[0.00349517, 0.19]"
